Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y,Date,Time,Time_in_Seconds,Cluster
NON-CRIMINAL,LOST PROPERTY,Saturday,MISSION,NONE,MISSION ST / 16TH ST,-122.419671780303,37.7650501214714,2005-04-09,15:00:00,54000,3
OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Sunday,SOUTHERN,NONE,MARKET ST / 3RD ST,-122.403434086745,37.78764305018,2009-11-01,01:09:00,4140,2
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Friday,INGLESIDE,NONE,900 Block of MONTEREY BL,-122.457112092326,37.7311627923931,2003-03-21,21:00:00,75600,1
SUICIDE,ATTEMPTED SUICIDE BY INGESTION,Thursday,TARAVAL,NONE,1400 Block of FUNSTON AV,-122.47046761568,37.76103435477221,2012-11-15,17:00:00,61200,1
OTHER OFFENSES,OBSCENE PHONE CALLS(S),Monday,CENTRAL,NONE,0 Block of CALIFORNIA ST,-122.397010347798,37.7936404234689,2005-08-22,10:00:00,36000,2
ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,TENDERLOIN,NONE,200 Block of MCALLISTER ST,-122.415754575208,37.780719182394,2004-01-10,19:18:00,69480,3
ASSAULT,INFLICT INJURY ON COHABITEE,Sunday,INGLESIDE,DISTRICT ATTORNEY REFUSES TO PROSECUTE,200 Block of ARLETA AV,-122.407829078315,37.714247336426,2006-02-26,16:25:00,59100,0
ASSAULT,BATTERY,Friday,INGLESIDE,NONE,RUSSIA AV / MADRID ST,-122.43398501548,37.7200629949565,2003-09-05,09:15:00,33300,0
OTHER OFFENSES,PROBATION VIOLATION,Wednesday,SOUTHERN,"ARREST, BOOKED",1000 Block of MARKET ST,-122.411339562557,37.7812707434494,2011-01-12,18:54:00,68040,3
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Sunday,TARAVAL,"ARREST, BOOKED",0 Block of MINERVA ST,-122.454821597623,37.7156897626856,2010-01-17,03:30:00,12600,1
NON-CRIMINAL,"STAY AWAY OR COURT ORDER, NON-DV RELATED",Wednesday,CENTRAL,"ARREST, BOOKED",100 Block of POST ST,-122.404784825095,37.7886943991722,2011-11-30,12:30:00,45000,3
ROBBERY,"ROBBERY, BODILY FORCE",Tuesday,SOUTHERN,NONE,STEVENSON ST / 7TH ST,-122.411935615745,37.780006442029794,2013-05-14,09:53:00,35580,2
DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Sunday,MISSION,"ARREST, BOOKED",23RD ST / HAMPSHIRE ST,-122.407449511511,37.7545081025069,2007-07-29,18:12:00,65520,0
ASSAULT,BATTERY WITH SERIOUS INJURIES,Sunday,MISSION,"ARREST, BOOKED",500 Block of SOUTH VAN NESS AV,-122.41747701285,37.764357751686,2012-10-07,17:08:00,61680,3
LARCENY/THEFT,GRAND THEFT PICKPOCKET,Saturday,MISSION,NONE,16TH ST / MISSION ST,-122.419671780296,37.7650501214668,2015-02-07,15:30:00,55800,3
NON-CRIMINAL,FOUND PROPERTY,Friday,NORTHERN,NONE,VANNESS AV / MCALLISTER ST,-122.42025048261002,37.7800745746105,2004-11-12,12:35:00,45300,3
VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,MISSION,NONE,VALENCIA ST / 15TH ST,-122.422045943548,37.7665387195995,2007-08-12,20:00:00,72000,3
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,CENTRAL,NONE,600 Block of BUSH ST,-122.407711340286,37.7903508766699,2014-01-22,20:30:00,73800,3
ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Sunday,INGLESIDE,"ARREST, BOOKED",800 Block of VIENNA ST,-122.434157340729,37.71540030527621,2006-04-23,08:06:00,29160,0
ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Tuesday,MISSION,NONE,1300 Block of NATOMA ST,-122.418546858015,37.7675401219176,2005-03-22,21:45:00,78300,3
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,MISSION,NONE,9TH ST / DIVISION ST,-122.405942290896,37.769659742321295,2006-12-29,15:00:00,54000,3
SECONDARY CODES,GANG ACTIVITY,Friday,MISSION,COMPLAINANT REFUSES TO PROSECUTE,24TH ST / MISSION ST,-122.418448186101,37.7522391652625,2007-04-20,08:30:00,30600,0
OTHER OFFENSES,MISCELLANEOUS STATE MISDEMEANOR,Friday,SOUTHERN,"ARREST, BOOKED",500 Block of BRANNAN ST,-122.397713226445,37.7774696662398,2010-07-30,23:30:00,84600,3
DRUG/NARCOTIC,POSSESSION OF HEROIN,Thursday,TENDERLOIN,"ARREST, BOOKED",HYDE ST / FULTON ST,-122.415127837608,37.7797870676495,2012-12-27,14:02:00,50520,3
ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Sunday,BAYVIEW,NONE,3RD ST / HUDSON AV,-122.38875579499,37.7403192229675,2009-04-05,00:10:00,600,2
NON-CRIMINAL,"STAY AWAY OR COURT ORDER, NON-DV RELATED",Friday,MISSION,NONE,2800 Block of 24TH ST,-122.408664686116,37.7528787651491,2012-01-13,12:35:00,45300,0
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,INGLESIDE,NONE,0 Block of PHELAN AV,-122.452289660492,37.72569335757029,2013-05-16,13:00:00,46800,1
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,2011-12-16,19:00:00,68400,3
LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Friday,MISSION,NONE,2000 Block of MISSION ST,-122.419520367886,37.764228935718,2014-05-30,02:13:00,7980,2
BURGLARY,"BURGLARY, FORCIBLE ENTRY",Saturday,CENTRAL,NONE,0 Block of OSGOOD PL,-122.402912423206,37.79786863027321,2006-06-03,09:30:00,34200,2
MISSING PERSON,FOUND PERSON,Saturday,BAYVIEW,LOCATED,0 Block of LEDYARD ST,-122.402116556292,37.7332354676556,2012-06-16,14:30:00,52200,0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,NORTHERN,NONE,0 Block of FELL ST,-122.418500584434,37.7764380944444,2013-08-05,02:30:00,9000,2
MISSING PERSON,FOUND PERSON,Friday,INGLESIDE,LOCATED,1300 Block of GIRARD ST,-122.400103437996,37.7163613697373,2010-10-22,17:50:00,64200,0
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Sunday,CENTRAL,NONE,300 Block of POWELL ST,-122.408384275542,37.7878271137225,2009-11-15,12:00:00,43200,3
ASSAULT,BATTERY,Thursday,BAYVIEW,NONE,2600 Block of SAN BRUNO AV,-122.40390700421,37.7282055879734,2013-06-13,20:45:00,74700,0
MISSING PERSON,FOUND PERSON,Sunday,INGLESIDE,LOCATED,600 Block of VELASCO AV,-122.418064096451,37.70964419179021,2013-12-01,18:00:00,64800,0
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,2010-03-23,16:00:00,57600,3
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,INGLESIDE,NONE,PERALTA AV / HAMPSHIRE ST,-122.40625374619,37.7478167260164,2008-09-15,16:00:00,57600,0
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Tuesday,BAYVIEW,"ARREST, BOOKED",700 Block of BACON ST,-122.410050631336,37.7260044799878,2005-05-31,19:16:00,69360,0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,SOUTHERN,NONE,CLEMENTINA ST / 6TH ST,-122.406166691403,37.778943410486896,2003-01-25,23:00:00,82800,3
VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Wednesday,PARK,NONE,300 Block of LAGUNAHONDA BL,-122.45868018978202,37.7481554692332,2010-11-17,11:30:00,41400,1
ROBBERY,"ROBBERY, ARMED WITH A DANGEROUS WEAPON",Saturday,MISSION,NONE,22ND ST / HARRISON ST,-122.412199182895,37.7558320631383,2006-02-11,21:45:00,78300,0
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Tuesday,RICHMOND,NONE,0 Block of JORDAN AV,-122.456955943845,37.78492361931829,2010-09-21,12:30:00,45000,1
NON-CRIMINAL,FOUND PROPERTY,Saturday,CENTRAL,NONE,400 Block of THE EMBARCADERONORTH ST,-122.396374439116,37.79805325280579,2012-11-17,12:25:00,44700,3
ASSAULT,BATTERY OF A POLICE OFFICER,Saturday,TENDERLOIN,"ARREST, BOOKED",0 Block of POWELL ST,-122.407845374111,37.7850943210103,2011-03-26,18:40:00,67200,3
NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Friday,BAYVIEW,NONE,700 Block of OLMSTEAD ST,-122.409046450139,37.7209474212723,2009-12-11,16:00:00,57600,0
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,PARK,NONE,1900 Block of GEARY BL,-122.436248450213,37.784048423587,2009-09-19,19:00:00,68400,1
NON-CRIMINAL,LOST PROPERTY,Wednesday,CENTRAL,NONE,JEFFERSON ST / HYDE ST,-122.420747467177,37.8075877427735,2006-09-06,16:00:00,57600,3
OTHER OFFENSES,PROBATION VIOLATION,Monday,TENDERLOIN,"ARREST, CITED",500 Block of EDDY ST,-122.416732163096,37.783465567448,2009-08-31,10:19:00,37140,2
OTHER OFFENSES,TRAFFIC VIOLATION,Sunday,MISSION,"ARREST, CITED",1400 Block of SOUTH VAN NESS AV,-122.416098641422,37.7499521390889,2004-06-27,17:15:00,62100,0
BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Friday,MISSION,"ARREST, BOOKED",0 Block of SHARON ST,-122.4299173348,37.7652477393128,2013-01-25,02:15:00,8100,2
DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Saturday,TENDERLOIN,"ARREST, BOOKED",OFARRELL ST / JONES ST,-122.412970537591,37.78578837668879,2009-01-24,16:20:00,58800,3
OTHER OFFENSES,HARASSING PHONE CALLS,Friday,CENTRAL,NONE,0 Block of AUBURN ST,-122.412489934396,37.7957497530818,2013-05-31,15:39:00,56340,3
NON-CRIMINAL,LOST PROPERTY,Sunday,MISSION,NONE,MISSION ST / 16TH ST,-122.419671780303,37.7650501214714,2003-10-05,21:40:00,78000,3
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,2012-12-16,06:20:00,22800,2
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,CENTRAL,NONE,0 Block of FRONT ST,-122.398580160853,37.7920265650406,2012-12-14,10:00:00,36000,2
VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,MISSION,NONE,1000 Block of YORK ST,-122.408350538177,37.7552426763858,2010-07-03,02:30:00,9000,2
OTHER OFFENSES,PAROLE VIOLATION,Wednesday,TENDERLOIN,"ARREST, BOOKED",100 Block of JONES ST,-122.412386379783,37.7825386747303,2006-04-19,15:45:00,56700,3
NON-CRIMINAL,LOST PROPERTY,Monday,TENDERLOIN,NONE,100 Block of EDDY ST,-122.410135236377,37.78418890752671,2005-07-11,12:00:00,43200,3
ASSAULT,INFLICT INJURY ON COHABITEE,Tuesday,BAYVIEW,DISTRICT ATTORNEY REFUSES TO PROSECUTE,NEWCOMB AV / 3RD ST,-122.390416955474,37.7355926105862,2010-09-07,15:00:00,54000,0
SUSPICIOUS OCC,SUSPICIOUS ACT TOWARDS FEMALE,Saturday,NORTHERN,NONE,100 Block of LARKIN ST,-122.416607695115,37.7791387543353,2004-02-07,15:00:00,54000,3
DRUG/NARCOTIC,POSSESSION OF HEROIN FOR SALES,Thursday,BAYVIEW,NONE,1700 Block of MCKINNON AV,-122.392084230651,37.7373992522935,2006-05-18,17:24:00,62640,0
FORGERY/COUNTERFEITING,"CHECKS, MAKE OR PASS FICTITIOUS",Friday,CENTRAL,NONE,600 Block of MONTGOMERY ST,-122.403112031242,37.7948751336497,2009-04-03,12:00:00,43200,3
SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Thursday,SOUTHERN,NONE,1200 Block of MISSION ST,-122.413583483648,37.7770436202636,2015-04-02,11:09:00,40140,2
DRUG/NARCOTIC,SALE OF CONTROLLED SUBSTANCE,Thursday,SOUTHERN,"ARREST, BOOKED",7TH ST / MARKET ST,-122.41251534135598,37.78047774805079,2008-01-10,16:48:00,60480,3
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Tuesday,NORTHERN,NONE,POLK ST / SUTTER ST,-122.420120319204,37.78775706024111,2009-03-17,21:00:00,75600,3
VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Monday,NORTHERN,NONE,500 Block of MARINA BL,-122.443101526211,37.8056090215901,2005-08-22,12:30:00,45000,1
DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Wednesday,MISSION,NONE,800 Block of YORK ST,-122.408796349216,37.758452247406105,2012-10-31,08:45:00,31500,2
ROBBERY,"ROBBERY, BODILY FORCE",Monday,SOUTHERN,NONE,STEVENSON ST / 6TH ST,-122.409696355558,37.7817540588712,2006-11-13,14:15:00,51300,3
OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Thursday,CENTRAL,NONE,1300 Block of STOCKTON ST,-122.408783663028,37.7980998616878,2006-10-19,13:15:00,47700,3
ASSAULT,INFLICT INJURY ON COHABITEE,Wednesday,INGLESIDE,"ARREST, BOOKED",500 Block of ALEMANY BL,-122.421305348396,37.7321638759455,2014-09-17,12:35:00,45300,0
VEHICLE THEFT,STOLEN AUTOMOBILE,Saturday,INGLESIDE,NONE,600 Block of CAYUGA AV,-122.436317943981,37.7279249997202,2008-01-26,21:00:00,75600,1
FORGERY/COUNTERFEITING,"CHECKS, FORGERY (FELONY)",Sunday,CENTRAL,NONE,900 Block of PINE ST,-122.411643005339,37.790807251861295,2007-07-15,08:00:00,28800,2
ASSAULT,BATTERY OF A POLICE OFFICER,Friday,NORTHERN,"ARREST, BOOKED",3200 Block of SCOTT ST,-122.441147713309,37.7997018632448,2009-11-13,00:18:00,1080,2
DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,Wednesday,PARK,"ARREST, BOOKED",LYON ST / MCALLISTER ST,-122.443324444777,37.7771638194542,2010-11-17,20:05:00,72300,1
BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Sunday,RICHMOND,NONE,700 Block of PRESIDIO AV,-122.446264333485,37.7849034219604,2004-07-25,22:30:00,81000,1
PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Tuesday,NORTHERN,"ARREST, CITED",LARKIN ST / HEMLOCK ST,-122.418368839172,37.78748615720421,2004-11-23,17:30:00,63000,3
WEAPON LAWS,POSS OF PROHIBITED WEAPON,Thursday,NORTHERN,"ARREST, BOOKED",0 Block of FERN ST,-122.419389780033,37.788271275069,2005-11-17,20:45:00,74700,3
LARCENY/THEFT,GRAND THEFT BICYCLE,Wednesday,SOUTHERN,NONE,0 Block of NEWMONTGOMERY ST,-122.401210053923,37.7881040758724,2012-01-11,11:45:00,42300,3
NON-CRIMINAL,FOUND PROPERTY,Wednesday,TENDERLOIN,NONE,MARKET ST / HYDE ST,-122.414743835382,37.77871926278901,2010-10-06,00:10:00,600,2
OTHER OFFENSES,RESISTING ARREST,Thursday,INGLESIDE,"ARREST, BOOKED",200 Block of STAPLES AV,-122.447729095753,37.7291327061291,2010-06-03,08:46:00,31560,1
ASSAULT,INFLICT INJURY ON COHABITEE,Saturday,NORTHERN,"ARREST, BOOKED",CALIFORNIA ST / GOUGH ST,-122.425618312013,37.789950080931504,2009-02-21,11:00:00,39600,2
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,RICHMOND,NONE,PIERCE ST / BUSH ST,-122.436749299319,37.7866005732609,2005-10-05,11:30:00,41400,1
OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,PARK,"ARREST, CITED",MARKET ST / CASTRO ST,-122.435187699349,37.7626702770872,2011-06-16,22:22:00,80520,1
BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Monday,CENTRAL,NONE,200 Block of STOCKTON ST,-122.40656817787,37.7878092959561,2006-09-04,17:09:00,61740,3
ASSAULT,THREATS AGAINST LIFE,Friday,MISSION,NONE,4200 Block of 19TH ST,-122.436502740795,37.759134651045706,2014-10-17,15:00:00,54000,1
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,NORTHERN,NONE,0 Block of FERN ST,-122.419389780033,37.788271275069,2013-12-27,12:30:00,45000,3
OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Sunday,SOUTHERN,NONE,4TH ST / BRYANT ST,-122.398063445402,37.7795658460064,2003-11-16,01:47:00,6420,2
MISSING PERSON,MISSING JUVENILE,Monday,BAYVIEW,NONE,1400 Block of PHELPS ST,-122.394438859914,37.73644389967321,2011-03-07,11:49:00,42540,0
WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Tuesday,INGLESIDE,"ARREST, BOOKED",800 Block of LONDON ST,-122.439996737161,37.7165122771571,2010-07-27,03:24:00,12240,1
BURGLARY,"BURGLARY, FORCIBLE ENTRY",Sunday,CENTRAL,NONE,1700 Block of THE EMBARCADERONORTH ST,-122.410774214375,37.8084350175869,2007-10-21,18:55:00,68100,3
DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,MISSION,"ARREST, BOOKED",24TH ST / MISSION ST,-122.418448186101,37.7522391652625,2009-05-14,16:54:00,60840,0
DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,Saturday,PARK,"ARREST, BOOKED",700 Block of CENTRAL AV,-122.4449433994,37.7764876097644,2011-09-24,01:40:00,6000,2
FRAUD,"CREDIT CARD, THEFT BY USE OF",Sunday,NORTHERN,NONE,FILLMORE ST / GEARY BL,-122.432914603494,37.7843533426568,2012-07-29,11:30:00,41400,1
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,2007-02-09,14:00:00,50400,3
WARRANTS,WARRANT ARREST,Wednesday,SOUTHERN,NONE,1100 Block of HOWARD ST,-122.409605982336,37.77772634147121,2013-06-12,12:45:00,45900,3
VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,NORTHERN,NONE,GEARY ST / POLK ST,-122.419739837813,37.78589260994861,2004-03-19,15:30:00,55800,3
LOITERING,LOITERING,Friday,BAYVIEW,"ARREST, BOOKED",3RD ST / MCKINNON AV,-122.390146716483,37.736390805098296,2005-09-23,15:06:00,54360,0
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,CENTRAL,"ARREST, CITED",POST ST / POWELL ST,-122.408403859906,37.78829339149289,2003-07-21,15:50:00,57000,3
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,2006-06-14,13:00:00,46800,3
LARCENY/THEFT,PETTY THEFT BICYCLE,Sunday,MISSION,NONE,500 Block of VALENCIA ST,-122.421738508476,37.7640972229024,2007-04-08,21:00:00,75600,3
LARCENY/THEFT,THEFT FROM MERCHANT OR LIBRARY,Saturday,SOUTHERN,"ARREST, CITED",700 Block of MISSION ST,-122.403070000847,37.7852686309087,2013-09-07,16:10:00,58200,3
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Tuesday,CENTRAL,NONE,1000 Block of BROADWAY ST,-122.413996618846,37.7968985022629,2007-07-10,21:00:00,75600,3
LARCENY/THEFT,GRAND THEFT FROM PERSON,Monday,BAYVIEW,NONE,700 Block of KIRKWOOD AV,-122.374019331833,37.729203356539,2005-10-17,12:00:00,43200,0
ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Wednesday,SOUTHERN,"ARREST, BOOKED",FOLSOM ST / 2ND ST,-122.396707150502,37.785542950304105,2012-10-17,17:38:00,63480,3
NON-CRIMINAL,AIDED CASE,Sunday,SOUTHERN,NONE,600 Block of MINNA ST,-122.411205728723,37.7782244806331,2007-03-25,15:40:00,56400,3
ASSAULT,THREATS AGAINST LIFE,Wednesday,TENDERLOIN,NONE,400 Block of TURK ST,-122.416349428183,37.7825569563078,2010-02-10,12:50:00,46200,3
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Saturday,NORTHERN,NONE,LYON ST / BAY ST,-122.447821446662,37.8016306398067,2012-09-22,19:00:00,68400,1
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,MISSION,NONE,24TH ST / BARTLETT ST,-122.419560437883,37.7521716091721,2009-05-26,00:01:00,60,2
OTHER OFFENSES,PEDDLING WITHOUT A LICENSE,Sunday,BAYVIEW,"ARREST, CITED",0 Block of GIANTS DR,-122.38750147945,37.716878646429,2003-10-05,13:00:00,46800,0
MISSING PERSON,MISSING JUVENILE,Wednesday,NORTHERN,NONE,3500 Block of FILLMORE ST,-122.436328202384,37.8017515400431,2015-02-18,15:30:00,55800,3
TRESPASS,TRESPASSING,Friday,BAYVIEW,"ARREST, BOOKED",900 Block of TENNESSEE ST,-122.389296892558,37.759151407091295,2013-12-27,05:25:00,19500,2
LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Friday,CENTRAL,NONE,MASON ST / FRANCISCO ST,-122.413433201999,37.8046850499582,2014-09-05,15:00:00,54000,3
FRAUD,"CREDIT CARD, THEFT BY USE OF",Monday,SOUTHERN,NONE,200 Block of BERRY ST,-122.394438381217,37.774853325726106,2011-08-08,00:01:00,60,2
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Saturday,SOUTHERN,"ARREST, CITED",5TH ST / TOWNSEND ST,-122.397207764774,37.7753329097568,2010-02-13,13:25:00,48300,3
WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Tuesday,NORTHERN,"ARREST, BOOKED",1500 Block of FILLMORE ST,-122.432743822617,37.7838424505847,2015-02-03,04:07:00,14820,2
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,SOUTHERN,NONE,600 Block of MISSION ST,-122.40093111397,37.7871900467437,2014-07-09,14:00:00,50400,3
MISSING PERSON,MISSING JUVENILE,Sunday,BAYVIEW,NONE,1400 Block of KIRKWOOD CT,-122.387808528933,37.7369224970836,2006-02-26,18:00:00,64800,0
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,SOUTHERN,NONE,1400 Block of MARKET ST,-122.418480564808,37.775898446204,2008-11-26,11:30:00,41400,3
WEAPON LAWS,CARRYING OF CONCEALED WEAPON BY CONVICTED FELON,Sunday,INGLESIDE,NONE,1500 Block of GENEVA AV,-122.430826301881,37.7124349004423,2009-09-06,01:10:00,4200,0
BURGLARY,"BURGLARY,BLDG. UNDER CONSTRUCTION, UNLAWFUL ENTRY",Sunday,NORTHERN,"ARREST, BOOKED",2600 Block of FILBERT ST,-122.443141607032,37.7971270879125,2015-01-11,10:46:00,38760,1
BURGLARY,"BURGLARY,RESIDENCE UNDER CONSTRT, FORCIBLE ENTRY",Saturday,BAYVIEW,NONE,2200 Block of SILVER AV,-122.398138242946,37.736699451536005,2006-06-03,18:30:00,66600,0
ASSAULT,BATTERY,Saturday,MISSION,NONE,0 Block of CUMBERLAND ST,-122.424733436568,37.7591515863543,2004-09-04,14:00:00,50400,1
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,SOUTHERN,NONE,800 Block of HARRISON ST,-122.400702308547,37.7798560085262,2004-12-12,18:45:00,67500,3
LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Sunday,TENDERLOIN,NONE,100 Block of OFARRELL ST,-122.407244087032,37.7865647607685,2009-12-27,12:50:00,46200,3
MISSING PERSON,MISSING JUVENILE,Thursday,INGLESIDE,LOCATED,0 Block of COTTER ST,-122.433998219387,37.72763700360071,2004-09-30,20:00:00,72000,1
VEHICLE THEFT,STOLEN MOTORCYCLE,Wednesday,MISSION,NONE,600 Block of CASTRO ST,-122.434705157839,37.7584767206498,2005-05-18,10:00:00,36000,1
VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI",Friday,RICHMOND,NONE,700 Block of LAKE ST,-122.467370662302,37.7865019571186,2004-03-19,12:00:00,43200,1
WARRANTS,WARRANT ARREST,Friday,SOUTHERN,"ARREST, BOOKED",7TH ST / MARKET ST,-122.412515341363,37.7804777480279,2005-06-17,16:00:00,57600,3
VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,BAYVIEW,NONE,BOWDOIN ST / SWEENY ST,-122.41305565771098,37.7314529225055,2008-12-24,10:00:00,36000,0
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,INGLESIDE,"ARREST, CITED",ALEMANY BL / SENECA AV,-122.441317001322,37.718634840253294,2007-09-17,07:30:00,27000,1
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Tuesday,MISSION,"ARREST, BOOKED",800 Block of VALENCIA ST,-122.421319903157,37.7597261442303,2003-05-13,21:30:00,77400,3
ASSAULT,BATTERY,Friday,SOUTHERN,NONE,12TH ST / MARKET ST,-122.420254960348,37.774358171070105,2010-12-17,09:53:00,35580,2
ASSAULT,THREATS AGAINST LIFE,Sunday,BAYVIEW,NONE,1600 Block of MC KINNON AV,-122.38974598966,37.7360920311297,2003-10-05,20:15:00,72900,0
VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Tuesday,SOUTHERN,"ARREST, BOOKED",600 Block of STEVENSON ST,-122.412651894354,37.7795131668888,2004-07-06,02:25:00,8700,2
NON-CRIMINAL,LOST PROPERTY,Monday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,2012-08-20,20:50:00,75000,3
VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI",Tuesday,SOUTHERN,JUVENILE BOOKED,500 Block of NATOMA ST,-122.409422031686,37.7788942420529,2007-07-24,00:12:00,720,2
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,RICHMOND,NONE,500 Block of 9TH AV,-122.467216834316,37.77800213624421,2014-10-15,12:20:00,44400,1
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Sunday,CENTRAL,NONE,1000 Block of KEARNY ST,-122.4055247968,37.7977714997338,2010-04-25,01:00:00,3600,2
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,TENDERLOIN,"ARREST, BOOKED",200 Block of LEAVENWORTH ST,-122.414217804322,37.7832593295025,2007-07-11,13:24:00,48240,3
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,MISSION,"ARREST, BOOKED",16TH ST / CAPP ST,-122.418701003292,37.7651098786267,2003-04-30,13:47:00,49620,3
MISSING PERSON,FOUND PERSON,Tuesday,MISSION,"ARREST, BOOKED",500 Block of CAPP ST,-122.417955821717,37.7578801214437,2012-08-07,21:00:00,75600,3
ASSAULT,BATTERY,Thursday,TENDERLOIN,NONE,200 Block of HYDE ST,-122.415721688006,37.7830679886919,2009-07-23,00:01:00,60,2
OTHER OFFENSES,FALSE PERSONATION,Monday,NORTHERN,NONE,1400 Block of POST ST,-122.426529714226,37.7860427680942,2014-08-04,10:00:00,36000,2
NON-CRIMINAL,CASE CLOSURE,Friday,BAYVIEW,PROSECUTED BY OUTSIDE AGENCY,1400 Block of VANDYKE AV,-122.389668091859,37.727536918318,2012-01-13,15:00:00,54000,0
